ds,y
2020-10-14,52837
2020-10-15,52886
2020-10-16,54190
2020-10-17,67071
2020-10-18,84473
2020-10-19,46103
2020-10-20,48019
2020-10-21,52196
2020-10-22,52244
2020-10-23,53650
2020-10-24,66448
2020-10-25,80398
2020-10-26,45389
2020-10-27,47322
2020-10-28,51464
2020-10-29,51515
2020-10-30,52995
2020-10-31,65668
2020-11-01,82255
2020-11-02,45600
2020-11-03,45013
2020-11-04,46064
2020-11-05,43865
2020-11-06,41123
2020-11-07,47711
2020-11-08,68470
2020-11-09,49177
2020-11-10,48949
2020-11-11,75191
2020-11-12,44842
2020-11-13,42806
2020-11-14,47732
2020-11-15,63653
2020-11-16,42141
2020-11-17,42617
2020-11-18,49749
2020-11-19,39862
2020-11-20,38512
2020-11-21,43459
2020-11-22,57461
2020-11-23,59350
2020-11-24,61621
2020-11-25,70591
2020-11-26,96429
2020-11-27,394379
2020-11-28,52506
2020-11-29,61295
2020-11-30,65220
2020-12-01,38981
2020-12-02,45647
2020-12-03,46709
2020-12-04,79110
2020-12-05,43025
2020-12-06,53895
2020-12-07,37888
2020-12-08,38009
2020-12-09,44728
2020-12-10,45688
2020-12-11,78184
2020-12-12,41951
2020-12-13,52394
2020-12-14,78853
2020-12-15,59403
2020-12-16,66370
2020-12-17,78536
2020-12-18,138527
2020-12-19,73047
2020-12-20,94524
2020-12-21,34694
2020-12-22,30267
2020-12-23,32329
2020-12-24,21574
2020-12-25,39708
2020-12-26,46617
2020-12-27,53108
2020-12-28,49922
2020-12-29,36584
2020-12-30,41828
2020-12-31,29088
2021-01-01,35771
2021-01-02,50558
2021-01-03,57316
2021-01-04,46888
2021-01-05,45755
2021-01-06,50597
2021-01-07,38277
2021-01-08,41245
2021-01-09,54529
2021-01-10,65854
2021-01-11,63412
2021-01-12,56179
2021-01-13,51053
2021-01-14,43245
2021-01-15,46734
2021-01-16,58479
2021-01-17,68941
2021-01-18,48203
2021-01-19,44949
2021-01-20,46047
2021-01-21,36644
2021-01-22,41168
2021-01-23,55754
2021-01-24,66823
2021-01-25,51491
2021-01-26,49847
2021-01-27,54280
2021-01-28,45972
2021-01-29,44915
2021-01-30,60374
2021-01-31,69624
2021-02-01,51236
2021-02-02,48913
2021-02-03,53096
2021-02-04,52775
2021-02-05,49435
2021-02-06,60396
2021-02-07,71967
2021-02-08,60294
2021-02-09,56087
2021-02-10,61488
2021-02-11,68568
2021-02-12,53422
2021-02-13,70531
2021-02-14,102495
2021-02-15,47278
2021-02-16,42696
2021-02-17,46589
2021-02-18,45676
2021-02-19,43620
2021-02-20,54092
2021-02-21,65392
2021-02-22,50918
2021-02-23,55181
2021-02-24,48621
2021-02-25,48756
2021-02-26,47285
2021-02-27,57214
2021-02-28,71390
2021-03-01,56055
2021-03-02,62396
2021-03-03,56315
2021-03-04,57235
2021-03-05,48501
2021-03-06,58631
2021-03-07,73115
2021-03-08,49308
2021-03-09,55206
2021-03-10,53638
2021-03-11,67087
2021-03-12,48200
2021-03-13,56018
2021-03-14,67679
2021-03-15,54149
2021-03-16,61470
2021-03-17,60595
2021-03-18,58831
2021-03-19,53204
2021-03-20,62612
2021-03-21,76023
2021-03-22,51602
2021-03-23,54281
2021-03-24,56689
2021-03-25,58045
2021-03-26,52767
2021-03-27,62881
2021-03-28,77544
2021-03-29,56650
2021-03-30,58384
2021-03-31,60802
2021-04-01,62329
2021-04-02,56411
2021-04-03,68765
2021-04-04,79667
2021-04-05,55524
2021-04-06,56125
2021-04-07,63058
2021-04-08,62021
2021-04-09,58161
2021-04-10,0
2021-04-11,64016
2021-04-12,54271
2021-04-13,63744
2021-04-14,70081
2021-04-15,68558
2021-04-16,66415
2021-04-17,78451
2021-04-18,87434
2021-04-19,62000
2021-04-20,54437
2021-04-21,59325
2021-04-22,56778
2021-04-23,54626
2021-04-24,63302
2021-04-25,71009
2021-04-26,65691
2021-04-27,57443
2021-04-28,62903
2021-04-29,58398
2021-04-30,55963
2021-05-01,64464
2021-05-02,79420
2021-05-03,71185
2021-05-04,61833
2021-05-05,60793
2021-05-06,58496
2021-05-07,56754
